t,wall_time,cpu,util_ema,chosen_freq_khz,freq_idx,est_power_w
3.51,1761992924.3081849,7,0.0116,300000,0,5.0232
4.012,1761992924.8096418,0,0.0057,300000,0,5.0114
4.012,1761992924.8096418,1,0.0,300000,0,5.0
4.012,1761992924.8096418,2,0.0046,300000,0,5.0092
4.012,1761992924.8096418,3,0.0176,300000,0,5.0351
4.012,1761992924.8096418,4,0.0291,300000,0,5.0582
4.012,1761992924.8096418,5,0.0045,300000,0,5.0091
4.012,1761992924.8096418,6,0.0121,300000,0,5.0243
4.012,1761992924.8096418,7,0.0075,300000,0,5.0151
4.513,1761992925.311143,0,0.0037,300000,0,5.0074
4.513,1761992925.311143,1,0.0,300000,0,5.0
4.513,1761992925.311143,2,0.0098,300000,0,5.0197
4.513,1761992925.311143,3,0.0114,300000,0,5.0228
4.513,1761992925.311143,4,0.0189,300000,0,5.0378
4.513,1761992925.311143,5,0.003,300000,0,5.0059
4.513,1761992925.311143,6,0.0079,300000,0,5.0158
4.513,1761992925.311143,7,0.0049,300000,0,5.0098
5.015,1761992925.8125582,0,0.0024,300000,0,5.0048
5.015,1761992925.8125582,1,0.0,300000,0,5.0
5.015,1761992925.8125582,2,0.0064,300000,0,5.0128
5.015,1761992925.8125582,3,0.0074,300000,0,5.0148
5.015,1761992925.8125582,4,0.0123,300000,0,5.0246
5.015,1761992925.8125582,5,0.0019,300000,0,5.0038
5.015,1761992925.8125582,6,0.0051,300000,0,5.0102
5.015,1761992925.8125582,7,0.0032,300000,0,5.0064
5.516,1761992926.3141482,0,0.0016,300000,0,5.0031
5.516,1761992926.3141482,1,0.0,300000,0,5.0
5.516,1761992926.3141482,2,0.0042,300000,0,5.0083
5.516,1761992926.3141482,3,0.0048,300000,0,5.0096
5.516,1761992926.3141482,4,0.008,300000,0,5.016
5.516,1761992926.3141482,5,0.0012,300000,0,5.0025
5.516,1761992926.3141482,6,0.0033,300000,0,5.0067
5.516,1761992926.3141482,7,0.0021,300000,0,5.0041
6.017,1761992926.8153505,0,0.001,300000,0,5.002
6.017,1761992926.8153505,1,0.0,300000,0,5.0
6.017,1761992926.8153505,2,0.0027,300000,0,5.0054
6.017,1761992926.8153505,3,0.0031,300000,0,5.0063
6.017,1761992926.8153505,4,0.0052,300000,0,5.0104
6.017,1761992926.8153505,5,0.0008,300000,0,5.0016
6.017,1761992926.8153505,6,0.0022,300000,0,5.0043
6.017,1761992926.8153505,7,0.0013,300000,0,5.0027
6.519,1761992927.3166072,0,0.0007,300000,0,5.0013
6.519,1761992927.3166072,1,0.0,300000,0,5.0
6.519,1761992927.3166072,2,0.0152,300000,0,5.0304
6.519,1761992927.3166072,3,0.002,300000,0,5.0041
6.519,1761992927.3166072,4,0.0034,300000,0,5.0067
6.519,1761992927.3166072,5,0.0005,300000,0,5.0011
6.519,1761992927.3166072,6,0.0014,300000,0,5.0028
6.519,1761992927.3166072,7,0.0009,300000,0,5.0018
7.02,1761992927.8178325,0,0.0004,300000,0,5.0009
7.02,1761992927.8178325,1,0.0,300000,0,5.0
7.02,1761992927.8178325,2,0.0099,300000,0,5.0198
7.02,1761992927.8178325,3,0.0013,300000,0,5.0026
7.02,1761992927.8178325,4,0.0022,300000,0,5.0044
7.02,1761992927.8178325,5,0.0003,300000,0,5.0007
7.02,1761992927.8178325,6,0.0009,300000,0,5.0018
7.02,1761992927.8178325,7,0.0006,300000,0,5.0011
7.521,1761992928.319225,0,0.0003,300000,0,5.0006
7.521,1761992928.319225,1,0.0,300000,0,5.0
7.521,1761992928.319225,2,0.0064,300000,0,5.0129
7.521,1761992928.319225,3,0.0009,300000,0,5.0017
